type,unit,ano_inicio,ano_fim,duracao_anos,tmi_inicio,tmi_fim,delta_tmi,delta_pct,classificacao,ano_inicial_serie,ano_final_serie,tmi_inicial_serie,tmi_final_serie,delta_geral_tmi,delta_geral_pct,trajetoria_geral
País LATAM,Costa Rica,2018,2022,4,7.8,8.8,1.0000000000000009,12.820512820512842,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2018,2023,5,7.8,9.2,1.3999999999999995,17.948717948717952,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2020,1,7.9,8.2,0.29999999999999893,3.7974683544303556,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2021,2,7.9,8.5,0.5999999999999996,7.594936708860756,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2022,3,7.9,8.8,0.9000000000000004,11.392405063291132,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2019,2023,4,7.9,9.2,1.299999999999999,16.455696202531623,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2020,2021,1,8.2,8.5,0.3000000000000007,3.658536585365857,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2020,2022,2,8.2,8.8,0.6000000000000014,7.317073170731736,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2020,2023,3,8.2,9.2,1,12.195121951219523,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2021,2022,1,8.5,8.8,0.3000000000000007,3.529411764705892,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2021,2023,2,8.5,9.2,0.6999999999999993,8.23529411764705,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Costa Rica,2022,2023,1,8.8,9.2,0.3999999999999986,4.545454545454519,Reversão,2000,2023,11.2,9.2,-2,-17.85714285714286,Queda geral
País LATAM,Cuba,2001,2023,22,6.5,6.6,0.09999999999999964,1.538461538461533,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2002,2022,20,6.3,6.3,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2002,2023,21,6.3,6.6,0.2999999999999998,4.761904761904767,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2003,2021,18,6,6,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2003,2022,19,6,6.3,0.2999999999999998,5.000000000000004,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2003,2023,20,6,6.6,0.5999999999999996,9.999999999999986,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2004,2020,16,5.8,5.7,-0.09999999999999964,-1.724137931034475,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
